Name,Manufacturer Name,Product Family Name,Product Name,Software Acquisition Method,GUID,Description,Link 1
Apple Safari,Apple,,Safari,Commercial-off-the-Shelf (COTS),1a06edb2-dd1a-11e8-4383-005056bd33fb,Web browser,https://www.apple.com
Arcserve Backup,Arcserve,,Backup,Commercial-off-the-Shelf (COTS),7c4124a0-69e6-11ea-4383-005056bd33fb,,https://www.arcserve.com/
Articulate Global Articulate 360,Articulate Global,,Articulate 360,Commercial-off-the-Shelf (COTS),d6c32990-dd1b-11e8-4383-005056bd33fb,,https://articulate.com/
ASG Technologies Rochade,ASG Technologies ,,Rochade,Commercial-off-the-Shelf (COTS),b33a8620-508f-11e4-74c2-005056975ac8,"ASG's Enterprise Metadata Repository maximizes the business value of data, and helps IT organizations see the value in their data and information assets. It provides business and technical users with source-to-target data lineage and quick data facts about their data and systems across the enterprise. ASG's Enterprise Metadata Repository supports Data Management and Governance, Regulatory Compliance, and Impact Analysis. It provides supports for both distributed and mainframe environments and a wide variety of databases, ETL tools, Data Warehouse, and Business Intelligence technologies.",https://www.asg.com/en/Smart-Catalog/ASG-Data-Intelligence-Metadata-Repository.aspx
Aspose Aspose.Pdf for .NET,Aspose,,Aspose.Pdf for .NET,Commercial-off-the-Shelf (COTS),d6311221-200b-11e9-4383-005056bd33fb,"Aspose.PDF for .NET is an advanced PDF Processing API for .NET Core to perform document management and manipulation tasks within cross-platform applications. API can easily be used to generate, modify, convert, render, secure and print documents without using Adobe Acrobat. Moreover, API offers compression options, table creation & manipulation, graph & image functions, extensive hyperlink functionality, stamp and watermark tasks, extended security controls and custom font handling.",https://www.aspose.com/
Aspose Aspose.Total for .NET,Aspose,,Aspose.Total for .NET,Commercial-off-the-Shelf (COTS),d62ea120-200b-11e9-4383-005056bd33fb,"Manipulate Word, Excel, PDF, PowerPoint, Outlook and more than 100 other file formats using our native APIs for .NET, Java, Android, C++ and other Platforms.",https://www.aspose.com/
Asysco Lion,Asysco,,Lion,Commercial-off-the-Shelf (COTS),a22678d6-770c-11e3-74c2-005056975ac8,"The Asysco Migration Technology (AMT) Framework offers automated migration of Unisys mainframe applications and transforms Unisys Linc code to AMT LION.  AMT LION is a highly productive, Object Oriented, language supported by a fully functional Integrated Development Environment (IDE), Application Management (Operations) Center and Runtime Framework.",https://www.asysco.com/amt-lion/
Atlassian JIRA,Atlassian,,JIRA,Commercial-off-the-Shelf (COTS),4ac30ef1-7b7b-11e6-2a04-005056976851,Issue Tracking and Project Management,https://www.atlassian.com/software/jira
BCL Technologies easyPDF,BCL Technologies,,easyPDF,Commercial-off-the-Shelf (COTS),66afba11-1f2d-11e5-2a04-005056976851,PDF Printer,http://www.bcltechnologies.com/
Benaissance COBRApoint,Benaissance,,COBRApoint,Commercial-off-the-Shelf (COTS),61715070-9001-11e3-74c2-005056975ac8,"COBRApoint is the Benaissance secure cloud-based platform designed to simplify and easily manage the complex financial and compliance requirements of COBRA and Direct Bill programs for benefit administrators. COBRApoint is the health benefit industry s leading, enterprise-class, central system of record for COBRA, HIPAA, and State Continuation administration. This premium billing and payment solution is more than COBRA software or a retiree billing system, it is designed to run a multi-employer COBRA and Direct Bill business with unlimited scale and maximum efficiency through integrated software and BPO services.",https://cobrapoint.benaissance.com
Biscom LincPDF,Biscom,,LincPDF,Commercial-off-the-Shelf (COTS),114fba21-10b7-11ec-678f-005056bd83df,,https://www.biscom.com/
BizAgi Modeler,BizAgi,,Modeler,Commercial-off-the-Shelf (COTS),6808f860-fe2a-11e8-4383-005056bd33fb,"Free, intuitive, and collaborative business process mapping software used by millions of people across the globe. Bizagi Modeler enables organizations to create and document business processes in a central cloud repository to gain a better understanding of each step and identify process improvement opportunities to increase organizational efficiency.",https://www.bizagi.com/en
BizAgi Studio,BizAgi,,Studio,Commercial-off-the-Shelf (COTS),a909bff0-63cf-11ea-4383-005056bd33fb,"Bizagi Studio enables business and IT teams to transform any business process and deliver end-to-end digital process automation across the organization. The platform’s powerful drag and drop interface makes automating Classic, Experience-Centric, Tactical or Ad-Hoc processes simple, creating personalized and contextualized experiences for knowledge workers.",https://www.bizagi.com/en
BMC Control-M Workload Archiving,BMC,Control-M,Workload Archiving,Commercial-off-the-Shelf (COTS),ebe20939-655b-11ea-4383-005056bd33fb,,https://www.bmc.com/
BottomLine Technologies Transform,BottomLine Technologies,,Transform,Commercial-off-the-Shelf (COTS),9363f920-94de-11e3-74c2-005056975ac8,Document Process Automation / Document Lifecycle Management platform.,https://www.bottomline.com/us/products/bottomline-transform-suite
Boundless Network T-3 Promo Store,Boundless Network,,T-3 Promo Store,Commercial-off-the-Shelf (COTS),c19748c0-2ae7-11e9-4383-005056bd33fb,,http://t-3.promo/
Brave Software Browser (Brave Browser),Brave Software,,Browser (Brave Browser),Commercial-off-the-Shelf (COTS),7b88a310-17e3-11ec-678f-005056bd83df,"The Brave browser is a fast, private and secure web browser for PC, Mac and mobile.",https://brave.com/
Broadcom TLMS Tape Management,Broadcom,,TLMS Tape Management,Commercial-off-the-Shelf (COTS),935d3c75-3f42-11e4-74c2-005056975ac8,z/OS tape data set and volume management,https://www.broadcom.com/
Cireson Asset Management,Cireson,,Asset Management,Commercial-off-the-Shelf (COTS),6821f890-7aa8-11e6-2a04-005056976851,Cireson Asset Management natively integrates with Microsoft Service Manager to manage every hardware (HAM) and software (SAM) asset from purchase to retirement.,http://cireson.com/
Cisco StealthWatch,Cisco,StealthWatch,StealthWatch,Commercial-off-the-Shelf (COTS),2b055711-ce3c-11e8-4383-005056bd33fb,,https://www.cisco.com/c/en/us/index.html
Cisco WebEx,Cisco,WebEx,WebEx,Commercial-off-the-Shelf (COTS),01c81ef1-3716-11e7-2a04-005056976851,WebEx Meetings,https://www.cisco.com/c/en/us/index.html
Citrix Receiver,Citrix,,Receiver,Commercial-off-the-Shelf (COTS),8fb2df61-94db-11e3-74c2-005056975ac8,Server application for application virtualization,https://www.citrix.com/
Citrix Virtual Apps and Desktops (CVAD),Citrix,,Virtual Apps and Desktops (CVAD),Commercial-off-the-Shelf (COTS),8fb2df60-94db-11e3-74c2-005056975ac8,Server application for desktop virtualization,https://www.citrix.com/
COBRA Solutions Administration Manager,COBRA Solutions,,Administration Manager,Commercial-off-the-Shelf (COTS),4eb2b100-730f-11ec-0bfe-005056bd83df,,https://www.cobrasolutions.com/
