Name,Manufacturer Name,Product Family Name,Product Name,Software Acquisition Method,GUID,Description,Link 1
Microsoft Outlook,Microsoft,Office,Outlook,Commercial-off-the-Shelf (COTS),5392f430-796e-11e3-74c2-005056975ac8,"Outlook includes an email client, calendar, address/contact book and task manager. The personal information manager is mainly used for emailing and can be used in integration with a Microsoft SharePoint server to share documents, calendars and information within an organization.",https://www.microsoft.com/
Microsoft Planner,Microsoft,,Planner,Commercial-off-the-Shelf (COTS),b627cab0-9be4-11e8-4383-005056bd33fb,,https://products.office.com/en-us/business/task-management-software
Microsoft Power BI,Microsoft,Power BI,Power BI,Commercial-off-the-Shelf (COTS),1d3e5ad0-75a9-11ea-4383-005056bd33fb,BI dashboarding,https://powerbi.microsoft.com
Microsoft PowerPoint,Microsoft,Office,PowerPoint,Commercial-off-the-Shelf (COTS),f8178520-f0d8-11e3-74c2-005056975ac8,,https://www.microsoft.com/
Microsoft Project,Microsoft,Office,Project,Commercial-off-the-Shelf (COTS),222e4f50-b6ab-11e3-74c2-005056975ac8,Project Management Software,https://www.microsoft.com/
Microsoft SharePoint Online,Microsoft,SharePoint,SharePoint Online,Commercial-off-the-Shelf (COTS),00cd7110-8d86-11eb-678f-005056bd83df,Web application framework and platform that integrates content and document management.,https://www.microsoft.com/
Microsoft Snipping Tool,Microsoft,,Snipping Tool,Commercial-off-the-Shelf (COTS),159b0340-bfd1-11e7-4383-005056bd33fb,Screen image capture,https://www.microsoft.com/
Microsoft SQL Server,Microsoft,SQL Server,SQL Server,Commercial-off-the-Shelf (COTS),0d4af6a3-53a6-11e3-74c2-005056975ac8,,https://www.microsoft.com/
Microsoft SQL Server Reporting Services,Microsoft,SQL Server,Reporting Services,Commercial-off-the-Shelf (COTS),bdce13b2-8392-11e3-74c2-005056975ac8,,https://www.microsoft.com/
Microsoft System Center,Microsoft,,System Center,Commercial-off-the-Shelf (COTS),53bd0f70-a576-11e3-74c2-005056975ac8,,https://www.microsoft.com/
Microsoft System Center Orchestrator,Microsoft,,System Center Orchestrator,Commercial-off-the-Shelf (COTS),d9da8f30-94f3-11e3-74c2-005056975ac8,"Orchestrator is a workflow management solution for the datacenter. Orchestrator lets you automate the creation, monitoring, and deployment of resources in your environment.",https://www.microsoft.com/
Microsoft Teams,Microsoft,,Teams,Commercial-off-the-Shelf (COTS),1b512431-9a16-11e7-2a04-005056976851,Team collaboration and chat workspace.,https://products.office.com/en-us/microsoft-teams/group-chat-software
Microsoft Visio,Microsoft,Office,Visio,Commercial-off-the-Shelf (COTS),e4c20050-b06d-11e3-74c2-005056975ac8,Project flow chart and design tool,https://www.microsoft.com/
Microsoft Visual C++,Microsoft,,Visual C++,Commercial-off-the-Shelf (COTS),6806c5f0-1a46-11ec-678f-005056bd83df,,https://www.microsoft.com/
Microsoft Visual Studio,Microsoft,Visual Studio,Visual Studio,Commercial-off-the-Shelf (COTS),dbae9130-95ca-11e3-74c2-005056975ac8,Microsoft IDE for software development,https://www.microsoft.com/
Microsoft Word,Microsoft,Office,Word,Commercial-off-the-Shelf (COTS),707f6ea4-52d8-11e3-74c2-005056975ac8,Word processing application,https://www.microsoft.com/
Milliman Integrate One,Milliman,,Integrate,Commercial-off-the-Shelf (COTS),74d20ff0-ac10-11eb-678f-005056bd83df,Financial asset liability modeling and projection software.,https://integrate.milliman.com/en
Milliman MG-ALFA,Milliman,,MG-ALFA,Commercial-off-the-Shelf (COTS),ed6acc50-9803-11e3-74c2-005056975ac8,Financial asset liability modeling and projection software.,https://www.milliman.com/en
Milliman MG-Triton,Milliman,MG-Triton,MG-Triton,Commercial-off-the-Shelf (COTS),40185f50-793a-11e3-74c2-005056975ac8,Actuarial valuation system that calculates policy reserves.,http://www.milliman.com/mgtriton/
MochaSoft TN3270,MochaSoft,,TN3270,Commercial-off-the-Shelf (COTS),4a0a2150-8778-11e3-74c2-005056975ac8,3270 Terminal Emulation,https://mochasoft.dk/
MongoDB MongoDB,MongoDB,,MongoDB,Commercial-off-the-Shelf (COTS),e2469a30-73db-11e8-4383-005056bd33fb,,https://www.mongodb.com/
Mozilla Firefox,Mozilla,,Firefox,Commercial-off-the-Shelf (COTS),cbe64660-606f-11e4-74c2-005056975ac8,,https://www.mozilla.org/en-US/firefox/
Node.js Foundation Node.js,Node.js Foundation,,Node.js,Commercial-off-the-Shelf (COTS),7a235130-6887-11ea-4383-005056bd33fb,,https://nodejs.org/
Nuance Dragon for PC,Nuance,Dragon,Dragon for PC,Commercial-off-the-Shelf (COTS),4e7443f0-5bb8-11e4-74c2-005056975ac8,Speech recognition software.,https://www.nuance.com
Nuance PDF (Portable Document Format) Create!,Nuance,ScanSoft,PDF (Portable Document Format) Create!,Commercial-off-the-Shelf (COTS),34709377-688a-11ea-4383-005056bd33fb,,https://www.nuance.com/dragon.html
ODG Online Disability Guidelines (ODG) API,ODG,,Online Disability Guidelines (ODG) API,Commercial-off-the-Shelf (COTS),b6719610-fca9-11e8-4383-005056bd33fb,,https://www.mcg.com/odg/
Office Timeline Office Timeline,Office Timeline,,Office Timeline,Commercial-off-the-Shelf (COTS),18f54471-2b82-11e8-4383-005056bd33fb,Create timelines inside PowerPoint.,https://www.officetimeline.com/
OpenText xPression,OpenText,Document Sciences,xPression,Commercial-off-the-Shelf (COTS),b0e77630-793a-11e3-74c2-005056975ac8,Automates generation of customized and personalized multichannel communications.,https://www.opentext.com/
Oracle Accounts Payable,Oracle,,Accounts Payable,Commercial-off-the-Shelf (COTS),227f186b-9d86-11e3-74c2-005056975ac8,,https://www.oracle.com/index.html
Oracle Business Intelligence (BI),Oracle,Business Intelligence,Business Intelligence (BI),Commercial-off-the-Shelf (COTS),0cb5b0f0-126a-11ec-678f-005056bd83df,Business intelligence platform,https://www.oracle.com/index.html
Oracle Business Process Management (BPM),Oracle,,Business Process Management (BPM),Commercial-off-the-Shelf (COTS),71eec5a1-200f-11e5-2a04-005056976851,Business Process Management,https://www.oracle.com/index.html
Oracle Database,Oracle,Database,Database,Commercial-off-the-Shelf (COTS),0d4af6a1-53a6-11e3-74c2-005056975ac8,,https://www.oracle.com/index.html
Oracle Fusion Middleware,Oracle,,Fusion Middleware,Commercial-off-the-Shelf (COTS),22e18ab0-a48c-11e3-74c2-005056975ac8,,https://www.oracle.com/index.html
Oracle General Ledger,Oracle,,PeopleSoft General Ledger (GL),Commercial-off-the-Shelf (COTS),227f186d-9d86-11e3-74c2-005056975ac8,,https://www.oracle.com/index.html
Oracle Integration Broker,Oracle,,PeopleSoft Integration Broker,Commercial-off-the-Shelf (COTS),aa5418b1-8e52-11e7-2a04-005056976851,Oracle's Integration Broker is a leading integration gateway that serves PeopleSoft Applications. Integration Broker is ideal for PeopleSoft customers that want to share information between PeopleSoft Applications or connect to PeopleSoft Applications using standards based integration technology including JMS or Web Services. PeopleSoft Integration Broker is delivered as part of PeopleTools and is available to all PeopleSoft Applications.,https://www.oracle.com/index.html
Oracle Java Runtime Environment (JRE),Oracle,,Java Runtime Environment (JRE),Commercial-off-the-Shelf (COTS),a8ccd8c1-1c1b-11e5-2a04-005056976851,Runtime environment for Java programs.,https://www.oracle.com/index.html
Oracle MySQL,Oracle,MySQL,MySQL,Commercial-off-the-Shelf (COTS),9d010161-53bd-11e3-74c2-005056975ac8,Database management software,https://www.oracle.com/index.html
Oracle PeopleSoft Enterprise (Suite),Oracle,,PeopleSoft Enterprise (Suite),Commercial-off-the-Shelf (COTS),7621a4e0-7939-11e3-74c2-005056975ac8,"Financial management platform that includes general ledger, procurement, accounts payable and receivable, asset and cash management capabilities.",https://www.oracle.com/index.html
Oracle PeopleTools,Oracle,,PeopleTools,Commercial-off-the-Shelf (COTS),af68ddf1-8e51-11e7-2a04-005056976851,"PeopleSoft PeopleTools provides a comprehensive development toolset that supports the development and runtime of PeopleSoft applications. By leveraging metadata and other efficiencies within the toolset, application developers build and customize the PeopleSoft applications quickly and easily.",https://www.oracle.com/index.html
Oracle Policy Automation,Oracle,(Enterprise) Policy Automation,Oracle Policy Automation,Commercial-off-the-Shelf (COTS),cd560060-8520-11e3-74c2-005056975ac8,Oracle Business Rules Engine,https://www.oracle.com/index.html
Oracle Workforce Planning,Oracle,,Workforce Planning,Commercial-off-the-Shelf (COTS),d3b473f4-9b29-11e3-74c2-005056975ac8,,https://www.oracle.com/index.html
"Pdfsam Project, The PDFsam Basic","Pdfsam Project, The",,PDFsam Basic,Commercial-off-the-Shelf (COTS),bd309c60-8afd-11ea-4383-005056bd33fb,"Split, merge, rotate, mix and extract pages from PDF files with PDFsam Basic , free and open source, at home or at work . Your PDF documents stay private on your computer, no need to upload them to a third party service",https://pdfsam.org/
Pervasive Software PSQL,Pervasive Software,,PSQL,Commercial-off-the-Shelf (COTS),7c4c69e1-3583-11e7-2a04-005056976851,Database Management System (DBMS) optimized for embedding in applications and packaged software applications.,http://www.pervasive.com/
Phire Architect,Phire,,Architect,Commercial-off-the-Shelf (COTS),da365090-c3ad-11e6-2a04-005056976851,Peoplesoft Version Control and Change Mangement,http://www.phire-soft.com/
PKWARE PKZIP for Desktop,PKWARE,PKZIP,PKZIP for Desktop,Commercial-off-the-Shelf (COTS),afffad61-6df7-11ea-4383-005056bd33fb,,https://www.pkware.com/
Planview Enterprise One,Planview,,Enterprise One,Commercial-off-the-Shelf (COTS),13bd25e0-1d80-11e4-74c2-005056975ac8,Enterprise project management and time tracking.,http://www.planview.com/products/planview-enterprise/
Planview Projectplace,Planview,,Projectplace,Commercial-off-the-Shelf (COTS),d771bf00-1cbe-11e8-4383-005056bd33fb,"Team collaboration, project and task management.",http://www.planview.com/products/projectplace/
Prezi Prezi (Prezi Business) Plus,Prezi,,Prezi (Prezi Business),Commercial-off-the-Shelf (COTS),46ae9831-a59c-11ea-4383-005056bd33fb,Presentation software.,www.prezi.com
Progress OpenEdge,Progress,OpenEdge,OpenEdge,Commercial-off-the-Shelf (COTS),0d4af6a2-53a6-11e3-74c2-005056975ac8,,https://www.progress.com/
Progress Test Studio,Progress,,Test Studio,Commercial-off-the-Shelf (COTS),20172271-1d13-11e6-2a04-005056976851,,https://www.progress.com/
QlikTech International QlikView,QlikTech International,,QlikView,Commercial-off-the-Shelf (COTS),480cfe91-5df3-11ec-678f-005056bd83df,Qlik data analytics,http://www.qlik.com/us/products/qlikview
Qtrac DiffPDF,Qtrac,,DiffPDF,Commercial-off-the-Shelf (COTS),8c2eb851-8864-11e9-4383-005056bd33fb,"DiffPDF shows pairs of pages from the two PDFs being compared with any differences highlighted. Comparisons can be made based on the text regardless of layout, or based on appearance (which accounts for fonts, colors, layout, diagrams, images, etc.) DiffPDF is cloud-free: it runs on your own computer without the size or page limits of online tools—some customers compare PDFs with thousands of pages.",http://www.qtrac.eu/diffpdf.html
"R Foundation, The Rtools","R Foundation, The",,Rtools,Commercial-off-the-Shelf (COTS),96fe57f1-6e0e-11ea-4383-005056bd33fb,,https://www.r-project.org/foundation/
Rapid7 Metasploit,Rapid7,,Metasploit,Commercial-off-the-Shelf (COTS),f9155990-ca2a-11e3-74c2-005056975ac8,Network Penetration Testing Software,https://www.rapid7.com/
Rapid7 NeXpose (SaaS),Rapid7,,NeXpose,Commercial-off-the-Shelf (COTS),f63e32c0-38cb-11eb-4383-005056bd33fb,Proactively scans network environment for misconfigurations and vulnerabilities and provides guidance for mitigating risk.,https://www.rapid7.com/
Recosoft PDF2ID,Recosoft,,PDF2ID,Commercial-off-the-Shelf (COTS),3e918670-308c-11e9-4383-005056bd33fb,Convert PDF files to Adobe InDesign format.,https://www.recosoft.com
Riverbed Technology SteelCentral Aternity,Riverbed Technology,SteelCentral,Aternity,Commercial-off-the-Shelf (COTS),feccc950-5e17-11e4-74c2-005056975ac8,Aternity Workforce APM monitors the end user experience for application and os performance.,https://www.riverbed.com/index.html
Robyn Promotions,Robyn,,Robyn Promotions,Commercial-off-the-Shelf (COTS),af5a50b1-8419-11e7-2a04-005056976851,Corporate branding promotional items and gifts eCommerce site.,http://robynpromo.com/
Rochester Software Associates SurePDF,Rochester Software Associates,,SurePDF,Commercial-off-the-Shelf (COTS),5ed3acf1-a350-11e5-2a04-005056976851,"SurePDF, RSA's WebCRD PDF Print Driver, solves the problem of getting reliable print-ready PDF files from the desktop (Mac or PC) to the Production Print Center.",https://www.rocsoft.com/SurePDF
Salesforce Einstein,Salesforce,,Einstein,Commercial-off-the-Shelf (COTS),23b06ce3-8e0b-11e9-4383-005056bd33fb,,http://www.salesforce.com
Salesforce Force.com,Salesforce,,Force.com,Commercial-off-the-Shelf (COTS),5cdbb521-e228-11e5-2a04-005056976851,,http://www.salesforce.com
Salesforce Marketing Cloud,Salesforce,,Marketing Cloud,Commercial-off-the-Shelf (COTS),c445c281-1912-11e5-2a04-005056976851,,http://www.salesforce.com
Salesforce Sales Cloud,Salesforce,,Sales Cloud,Commercial-off-the-Shelf (COTS),c4435181-1912-11e5-2a04-005056976851,,http://www.salesforce.com
Salesforce Salesforce,Salesforce,,Salesforce,Commercial-off-the-Shelf (COTS),6234b840-8781-11e3-74c2-005056975ac8,Customer Relationship Management (CRM) for Field Colleagues.,http://www.salesforce.com
Salesforce Service Cloud,Salesforce,,Service Cloud,Commercial-off-the-Shelf (COTS),23adfbe0-8e0b-11e9-4383-005056bd33fb,,http://www.salesforce.com
Salesforce Shield (Salesforce Shield),Salesforce,,Shield (Salesforce Shield),Commercial-off-the-Shelf (COTS),eee2c5e1-c309-11e6-2a04-005056976851,"Salesforce Shield protects your enterprise with point-and-click tools that enhance trust, transparency, compliance, and governance across all of your business-critical apps.",http://www.salesforce.com
SAPIEN Technologies PowerShell Studio,SAPIEN Technologies,,PowerShell Studio,Commercial-off-the-Shelf (COTS),8533e750-6f8b-11ea-4383-005056bd33fb,,https://www.sapien.com/
SAS Institute SAS,SAS Institute,,SAS,Commercial-off-the-Shelf (COTS),6dcd4240-a4ae-11e3-74c2-005056975ac8,,https://www.sas.com/en_us/home.html
Selerix Systems BenefitAgent,Selerix Systems,,BenefitAgent,Commercial-off-the-Shelf (COTS),05fd1bf0-17eb-11ec-678f-005056bd83df,,https://wiki.selerix.com/index.php/BenSelect:Admin:Plan:General#Most_commonly-used_plan_engines
ServiceNow IT Service Management,ServiceNow,,IT Service Management,Commercial-off-the-Shelf (COTS),e31c41f2-f17f-11e7-4383-005056bd33fb,Enterprise/IT Service Management,http://www.servicenow.com
ServiceNow MID Server,ServiceNow,,MID Server,Commercial-off-the-Shelf (COTS),4eeb7d31-08b8-11e7-2a04-005056976851,"The Management, Instrumentation and Discovery (MID) Server facilitates communication and movement of data between the ServiceNow platform and external applications, data sources and services.",http://www.servicenow.com
ServiceNow ServiceNow,ServiceNow,,ServiceNow,Commercial-off-the-Shelf (COTS),bed46e81-c3c7-11e6-2a04-005056976851,Enterprise/IT Service Management,http://www.servicenow.com
ServiceNow Software Asset Management (SAM),ServiceNow,,Software Asset Management (SAM),Commercial-off-the-Shelf (COTS),54f68250-5dc3-11ec-678f-005056bd83df,,http://www.servicenow.com
Slack Technologies Slack,Slack Technologies,,Slack,Commercial-off-the-Shelf (COTS),f6794880-5dda-11ec-678f-005056bd83df,,https://slack.com/
SmartBear Software Ready! API,SmartBear Software,,Ready! API,Commercial-off-the-Shelf (COTS),ed70e950-6f9d-11ea-4383-005056bd33fb,,https://smartbear.com/
SmartBear Software soapUI,SmartBear Software,,soapUI,Commercial-off-the-Shelf (COTS),4b2b1260-a93d-11e3-74c2-005056975ac8,"SOA, Web Service Test Tool for SOAP, REST, HTTP, JMS, etc.",https://smartbear.com/
SmartBear Software TestComplete,SmartBear Software,TestComplete,TestComplete,Commercial-off-the-Shelf (COTS),f650c1e1-d73e-11e5-2a04-005056976851,"TestComplete Platform acts as a backbone for our Web Automation Tool, Desktop Testing Tool, and Mobile Application Automation Tool.",https://smartbear.com/
Software AG ARIS Platform,Software AG,ARIS,Platform,Commercial-off-the-Shelf (COTS),9d4b0d20-1d78-11e4-74c2-005056975ac8,,https://www.softwareag.com/corporate/default.html
Software AG Entire Connection,Software AG,Entire,Connection,Commercial-off-the-Shelf (COTS),f19fa0d0-900a-11e3-74c2-005056975ac8,Mainframe FTP Software,https://www.softwareag.com/corporate/default.html
Software AG Integration Platform,Software AG,,Integration Platform,Commercial-off-the-Shelf (COTS),e9569f46-81ec-11e3-74c2-005056975ac8,"A standards-based enterprise service bus (ESB) that integrates technologies from any vendor, including ERP systems, databases, mainframes and legacy apps, SaaS platforms, Web services, Java  Message Service and packaged apps.",https://www.softwareag.com/corporate/default.html
SonarSource Sonarqube 8 (8.5) Developer,SonarSource,,Sonarqube,Commercial-off-the-Shelf (COTS),2f0ee7b0-777f-11eb-678f-005056bd83df,"Automatic code review tool to detect bugs, vulnerabilities, and code smells in your code.",https://www.sonarqube.org/
SourceGear DiffMerge,SourceGear,,DiffMerge,Commercial-off-the-Shelf (COTS),a0e8f9c0-7032-11ea-4383-005056bd33fb,"DiffMerge is an application to visually compare and merge files on Windows, OS X and Linux.",https://sourcegear.com/
Sovos Compliance WINGS Financial Reporting,Sovos Compliance,Eagle Technology Management (ETM),WINGS Financial Reporting,Commercial-off-the-Shelf (COTS),bafcac00-dd68-11ea-4383-005056bd33fb,Insurance statutory reporting.,https://sovos.com/
Sprout Social Sprout Social,Sprout Social,,Sprout Social,Commercial-off-the-Shelf (COTS),52d97ec0-be52-11e6-2a04-005056976851,Social media management platform,http://sproutsocial.com
Swimlane Swimlane Platform,Swimlane,,Swimlane Platform,Commercial-off-the-Shelf (COTS),6c52a7e0-dddc-11e8-4383-005056bd33fb,,https://swimlane.com
Syncsort Trillium,Syncsort,,Trillium,Commercial-off-the-Shelf (COTS),e9810a90-8521-11e3-74c2-005056975ac8,,http://www.syncsort.com
TechnoSolutions TopTeam Analyst,TechnoSolutions,,TopTeam Analyst,Commercial-off-the-Shelf (COTS),1ebef7e1-ed17-11e4-2a04-005056976851,Business Process and Requirements lifecycle management software.,https://www.technosolutions.com/
TechSmith Camtasia,TechSmith,,Camtasia,Commercial-off-the-Shelf (COTS),8b9abb21-c140-11e6-2a04-005056976851,Video editor and screen recorder.,https://www.techsmith.com/video-editor.html
TechSmith Morae,TechSmith,,Morae,Commercial-off-the-Shelf (COTS),8b67dc30-e6a6-11e9-4383-005056bd33fb,,https://www.techsmith.com/morae.html
TechSmith Snagit,TechSmith,,Snagit,Commercial-off-the-Shelf (COTS),71576dc0-15e5-11e9-4383-005056bd33fb,,https://www.techsmith.com/screen-capture.html
Thomson Reuters eForm RS,Thomson Reuters,,eForm RS,Commercial-off-the-Shelf (COTS),57d32e80-ec40-11e8-4383-005056bd33fb,,https://checkpoint.riag.com/
Thomson Reuters OneSource,Thomson Reuters,,OneSource,Commercial-off-the-Shelf (COTS),775b7a71-3adf-11e5-2a04-005056976851,"Tax reporting and compliance service for 1042-S, 1099-DIV, 1099-INT, 1099-MISC, 1099-R, 1099-SA, 5498, 5498-SA, W-2 reporting",https://tax.thomsonreuters.com/products/brands/onesource/
Tom Brennan Software Vista tn3270,Tom Brennan Software,,Vista tn3270,Commercial-off-the-Shelf (COTS),111e2e30-8779-11e3-74c2-005056975ac8,Terminal emulator,https://www.tombrennansoftware.com/
"TortoiseSVN team, The TortoiseSVN","TortoiseSVN team, The",,TortoiseSVN,Commercial-off-the-Shelf (COTS),14f87070-98b7-11e3-74c2-005056975ac8,Subversion control from Microsoft Windows Explorer.,https://tortoisesvn.net/
Transformations Uluro,Transformations,,Uluro,Commercial-off-the-Shelf (COTS),9c49ac50-d9c8-11e7-4383-005056bd33fb,,http://www.uluro.com/
Twitter Twitter,Twitter,,Twitter,Commercial-off-the-Shelf (COTS),e836bef1-3600-11e5-2a04-005056976851,Social networking channel.,https://twitter.com/amfidelity
UiPath Platform,UiPath,Platform,Platform,Commercial-off-the-Shelf (COTS),5f8eec21-7053-11ea-4383-005056bd33fb,,https://www.uipath.com/
UKG Pro,UKG,,UltiPro,Commercial-off-the-Shelf (COTS),66a720a0-89bd-11e3-74c2-005056975ac8,HR and Payroll Software,https://www.ukg.com/
UKG Ready (Workforce Ready),UKG,,Ready (Workforce Ready),Commercial-off-the-Shelf (COTS),3194bac0-4172-11eb-678f-005056bd83df,"Timekeeping, attendance, and leave of absence management",https://www.ukg.com/
Umbraco Umbraco,Umbraco,,Umbraco,Commercial-off-the-Shelf (COTS),03d8a9c0-8522-11e3-74c2-005056975ac8,An open source content management system (CMS) platform for publishing content on the World Wide Web and intranets.,http://umbraco.com/
Veritas Enterprise Vault Compliance Accelerator,Veritas,Enterprise Vault,Compliance Accelerator,Commercial-off-the-Shelf (COTS),bfa31670-72a8-11ea-4383-005056bd33fb,,https://www.veritas.com/product/information-governance/ediscovery-platform
Veritas Enterprise Vault Discovery Accelerator,Veritas,Enterprise Vault,Discovery Accelerator,Commercial-off-the-Shelf (COTS),bfa31672-72a8-11ea-4383-005056bd33fb,,https://www.veritas.com/product/information-governance/ediscovery-platform
VisualSVN VisualSVN,VisualSVN,,VisualSVN,Commercial-off-the-Shelf (COTS),8575af60-aae2-11e3-74c2-005056975ac8,,https://www.visualsvn.com/
VMware RabbitMQ,VMware,Pivotal,RabbitMQ,Commercial-off-the-Shelf (COTS),a0f5b9e1-d742-11e5-2a04-005056976851,RabbitMQ is an open source message broker software that implements the Advanced Message Queuing Protocol (AMQP).,https://www.vmware.com/hk/products/pivotal-rabbitmq.html
VMware vRealize Business,VMware,vRealize,Business,Commercial-off-the-Shelf (COTS),f6552110-851e-11ec-0bfe-005056bd83df,,https://www.vmware.com/
VMware vSphere,VMware,vSphere,vSphere,Commercial-off-the-Shelf (COTS),cade1b11-7216-11e7-2a04-005056976851,,https://www.vmware.com/
Wolters Kluwer ATX,Wolters Kluwer,ATX,ATX,Commercial-off-the-Shelf (COTS),a4facbb0-1e3f-11e4-74c2-005056975ac8,"Tax preparation software for small firms, sole practitioners, CPAs and tax accounting small businesses.",https://taxna.wolterskluwer.com/professional-tax-software/atx
WordPress Foundation Wordpress,WordPress Foundation,,Wordpress,Commercial-off-the-Shelf (COTS),06655bd0-8ea9-11e3-74c2-005056975ac8,,https://wordpress.org/
Wrike Project Management,Wrike,,Project Management,Commercial-off-the-Shelf (COTS),90674330-dbb9-11e9-4383-005056bd33fb,Project Management,https://www.wrike.com
wso2 Enterprise Service Bus (ESB),wso2,,Enterprise Service Bus (ESB),Commercial-off-the-Shelf (COTS),57f74943-15c6-11e5-2a04-005056976851,Enterprise Service Bus,http://wso2.com
wso2 Identity Server,WSO2,,Identity Server,Commercial-off-the-Shelf (COTS),e004c683-15c8-11e5-2a04-005056976851,"WSO2 Identity Server provides sophisticated security and identity management of enterprise web applications, services, and APIs, and makes life easier for developers and architects with its hassle-free, minimal monitoring and maintenance requirements. In its latest version, Identity Server acts as an Enterprise Identity Bus (EIB)   a central backbone to connect and manage multiple identities regardless of the standards on which they are based.",http://wso2.com
wso2 wso2 Platform,wso2,,wso2 Platform,Commercial-off-the-Shelf (COTS),8122b0d1-d42d-11e6-2a04-005056976851,,http://wso2.com
Young Consulting ESLOffice,Young Consulting,,ESLOffice,Commercial-off-the-Shelf (COTS),31aaa2a1-f6fb-11e7-4383-005056bd33fb,ESLOffice is an integrated workflow software solution designed for carriers and managing general underwriters to underwrite and administer Medical Stop Loss and Group Term Life lines of business.,http://www.youngconsulting.com/esl_office/index.html
Zendesk CRM,Zendesk,,CRM,Commercial-off-the-Shelf (COTS),fd4f8bf0-3db0-11ec-678f-005056bd83df,,https://www.zendesk.com/
